accX,accY,accZ,gyroX,gyroY,gyroZ,angleX
0.3496,0.814,1.6162,-2.4414,-0.5493,-0.3052,26.235
0.3525,0.8101,1.6143,-2.1362,-0.7935,-0.3052,26.213
0.3569,0.8101,1.6133,-1.8921,-0.7324,-0.6714,26.197
0.356,0.811,1.6128,-2.0142,-0.4272,-0.9766,26.18
0.3506,0.812,1.6138,-1.8921,-0.2441,-1.1597,26.164
0.3481,0.8169,1.6167,-1.5869,-0.4272,-1.2817,26.153
0.3511,0.8223,1.6196,-1.6479,-0.7935,-0.7324,26.136
0.3545,0.8208,1.6196,-1.8921,-0.7935,0.1831,26.12
0.3579,0.8149,1.6187,-1.9531,-0.3052,0.9155,26.098
0.3584,0.8096,1.6182,-1.8921,0.061,1.0376,26.076
0.355,0.8076,1.6206,-1.5259,0.2441,0.9766,26.06
0.3516,0.8057,1.6206,-1.1597,0.1221,0.7935,26.043
0.3491,0.8057,1.6191,-0.7935,-0.2441,0.4272,26.038
0.3481,0.8052,1.6211,-0.3662,-0.7935,-0.061,26.032
0.3496,0.8057,1.623,0.1221,-1.1597,-0.2441,26.038
0.355,0.8062,1.6216,0.3052,-1.3428,-0.061,26.043
0.3618,0.8125,1.6216,0.9155,-1.0986,-0.2441,26.054
0.3672,0.8213,1.6255,0.5493,-0.4272,0,26.06
0.3652,0.8184,1.6318,0.061,0.3052,0.8545,26.054
0.3589,0.7954,1.6431,1.8921,0.7935,1.709,26.06
0.3643,0.793,1.645,3.6011,0.9155,1.2207,26.071
0.3647,0.8022,1.647,5.0049,1.3428,0.6714,26.104
0.3618,0.8091,1.6484,6.1646,1.6479,0.4883,26.153
0.3574,0.814,1.6465,6.7139,1.77,0.8545,26.213
0.3535,0.814,1.6421,7.3242,1.5869,0.9155,26.279
0.3579,0.8193,1.6426,7.7515,1.2207,0.6714,26.345
0.3555,0.8198,1.6504,7.9956,1.6479,0.7324,26.422
0.3579,0.8096,1.6587,8.7891,1.8311,1.2207,26.587
0.3569,0.7998,1.6655,10.1929,2.0142,2.0752,26.68
0.3462,0.793,1.6685,11.8408,1.6479,3.418,26.68
0.3462,0.793,1.6685,11.8408,1.6479,3.418,26.79
0.3433,0.7974,1.6455,22.522,1.4038,6.3477,26.955
0.356,0.812,1.6313,19.8975,2.1973,7.6904,27.356
